filename,original_path,doc_kind,extraction_status,proposed_bucket,reason
9.3.3_Revenue 2018 - 2023F.xlsx,Data Room Downloads\Investor Relations\9.3.3_Revenue 2018 - 2023F.xlsx,unclassified_document,extracted_text,02_Due_Diligence,folder-hint:'data room'
COVID-19 update for investors  29 September 2020.pdf,Data Room Downloads\Investor Relations\COVID-19 update for investors  29 September 2020.pdf,unclassified_document,extracted_text,02_Due_Diligence,folder-hint:'data room'
Oxford Nanopore Q3 2020 accounts CONFIDENTIAL.pdf,Data Room Downloads\Investor Relations\Oxford Nanopore Q3 2020 accounts CONFIDENTIAL.pdf,unclassified_document,extracted_text,05_Capitalization_and_Securities,content:'fully diluted'
Oxford Nanopore investor presentation 16 September 2020.pdf,Data Room Downloads\Investor Relations\Oxford Nanopore investor presentation 16 September 2020.pdf,unclassified_document,extracted_text,01_Investment_Thesis_and_Memos,name:'presentation'
Oxford Nanopore investor report Q1 2018 PUBLIC INFO ONLY.pdf,Data Room Downloads\Investor Relations\Oxford Nanopore investor report Q1 2018 PUBLIC INFO ONLY.pdf,unclassified_document,extracted_text,02_Due_Diligence,folder-hint:'data room'
Oxford Nanopore investor report Q3 2020 PUBLIC INFO ONLY.pdf,Data Room Downloads\Investor Relations\Oxford Nanopore investor report Q3 2020 PUBLIC INFO ONLY.pdf,unclassified_document,extracted_text,02_Due_Diligence,folder-hint:'data room'
Oxford Nanopore published accounts 2014.pdf,Data Room Downloads\Investor Relations\Oxford Nanopore published accounts 2014.pdf,unclassified_document,extracted_text,02_Due_Diligence,folder-hint:'data room'
Oxford Nanopore published accounts 2015.pdf,Data Room Downloads\Investor Relations\Oxford Nanopore published accounts 2015.pdf,unclassified_document,extracted_text,02_Due_Diligence,folder-hint:'data room'
Oxford Nanopore published accounts 2016.pdf,Data Room Downloads\Investor Relations\Oxford Nanopore published accounts 2016.pdf,unclassified_document,extracted_text,02_Due_Diligence,folder-hint:'data room'
Oxford Nanopore published accounts 2017.pdf,Data Room Downloads\Investor Relations\Oxford Nanopore published accounts 2017.pdf,unclassified_document,extracted_text,02_Due_Diligence,folder-hint:'data room'
Oxford Nanopore published accounts 2018.pdf,Data Room Downloads\Investor Relations\Oxford Nanopore published accounts 2018.pdf,unclassified_document,extracted_text,02_Due_Diligence,folder-hint:'data room'
November2020captable.pdf,Documents from Steven (framework agreement)\November2020captable.pdf,cap_table,extracted_text,05_Capitalization_and_Securities,name:'captable'
ONT - G42 Framework Agreement 23.04.2020vFINAL.docx,Documents from Steven (framework agreement)\ONT - G42 Framework Agreement 23.04.2020vFINAL.docx,unclassified_document,extracted_text,04_Legal_and_Closing,name:'framework agreement'
ONT - G42 Term Sheet 23.04.2020vFINAL.pdf,Documents from Steven (framework agreement)\ONT - G42 Term Sheet 23.04.2020vFINAL.pdf,term_sheet,extracted_text,04_Legal_and_Closing,name:'term sheet'
"Oxford Nanopore - Investment Summary (Sep 2020) 4814-2336-4042, 2.docx","Documents from Steven (framework agreement)\Oxford Nanopore - Investment Summary (Sep 2020) 4814-2336-4042, 2.docx",unclassified_document,extracted_text,01_Investment_Thesis_and_Memos,name:'investment summary'
G42 Healthcare Outlook Of ONT-v21.pptx,G42 ONT Presentation - Sep 21\Backups\G42 Healthcare Outlook Of ONT-v21.pptx,unclassified_document,extracted_text,01_Investment_Thesis_and_Memos,folder-hint:'presentation'
G42- ONT Presentation Sep 21 v1.pptx,G42 ONT Presentation - Sep 21\Backups\G42- ONT Presentation Sep 21 v1.pptx,unclassified_document,extracted_text,01_Investment_Thesis_and_Memos,name:'presentation'
G42- ONT Presentation Sep 21 v2.pdf,G42 ONT Presentation - Sep 21\Backups\G42- ONT Presentation Sep 21 v2.pdf,unclassified_document,extracted_text,01_Investment_Thesis_and_Memos,name:'presentation'
G42- ONT Presentation Sep 21 v2.pptx,G42 ONT Presentation - Sep 21\Backups\G42- ONT Presentation Sep 21 v2.pptx,unclassified_document,extracted_text,01_Investment_Thesis_and_Memos,name:'presentation'
G42- ONT Presentation Sep 21 v3.pptx,G42 ONT Presentation - Sep 21\Backups\G42- ONT Presentation Sep 21 v3.pptx,unclassified_document,extracted_text,01_Investment_Thesis_and_Memos,name:'presentation'
G42- ONT Presentation Sep 21.pptx,G42 ONT Presentation - Sep 21\Backups\G42- ONT Presentation Sep 21.pptx,unclassified_document,extracted_text,01_Investment_Thesis_and_Memos,name:'presentation'
ONT - IR Dec'20 v2.pdf,G42 ONT Presentation - Sep 21\ONT - IR Dec'20 v2.pdf,unclassified_document,extracted_text,01_Investment_Thesis_and_Memos,name:'ir'
ONT Sep21.pdf,G42 ONT Presentation - Sep 21\ONT Sep21.pdf,unclassified_document,extracted_text,01_Investment_Thesis_and_Memos,folder-hint:'presentation'
ONT.pdf,G42 ONT Presentation - Sep 21\ONT.pdf,unclassified_document,extracted_text,01_Investment_Thesis_and_Memos,folder-hint:'presentation'
ONT.pptx,G42 ONT Presentation - Sep 21\ONT.pptx,unclassified_document,extracted_text,01_Investment_Thesis_and_Memos,folder-hint:'presentation'
Peers.xlsx,G42 ONT Presentation - Sep 21\Peers.xlsx,unclassified_document,extracted_text,01_Investment_Thesis_and_Memos,folder-hint:'presentation'
G42confirmationDec20.pdf,G42confirmationDec20.pdf,unclassified_document,extracted_text,11_Correspondence_and_Other,default
Illumina Sues Oxford Nanopore Technologies Over Composition of Nanopores.mhtml,Important Articles\Illumina Sues Oxford Nanopore Technologies Over Composition of Nanopores.mhtml,constitutional_document,extracted_text,04_Legal_and_Closing,kind:constitutional_document
Omics! Omics!_ Digging into the Illumina Lawsuit vs. Oxford Nanopore.html,Important Articles\Omics! Omics!_ Digging into the Illumina Lawsuit vs. Oxford Nanopore.html,constitutional_document,extracted_text,04_Legal_and_Closing,kind:constitutional_document
"PacBio, Oxford Nanopore Settle Patent Dispute in Europe _ GenomeWeb.html","Important Articles\PacBio, Oxford Nanopore Settle Patent Dispute in Europe _ GenomeWeb.html",constitutional_document,extracted_text,04_Legal_and_Closing,kind:constitutional_document
IHC Q3-2022 Financials (EN).pdf,ONT & Tencent (25-Jan)\IHC Q3-2022 Financials (EN).pdf,financial_statement,extracted_text,07_Monitoring_and_Financials,kind:financial_statement
ONT IPO Prospectus.pdf,ONT & Tencent (25-Jan)\ONT IPO Prospectus.pdf,public_filing,extracted_text,10_Exit_and_Public_Markets,name:'prospectus'
Oxford Nanopore Technologies plc LSE ONT UK Share Register Detailed (1).pdf,ONT & Tencent (25-Jan)\Oxford Nanopore Technologies plc LSE ONT UK Share Register Detailed (1).pdf,unclassified_document,extracted_text,11_Correspondence_and_Other,default
Oxford Nanopore Technologies plc LSE ONT UK Share Register Detailed (1).xls,ONT & Tencent (25-Jan)\Oxford Nanopore Technologies plc LSE ONT UK Share Register Detailed (1).xls,unclassified_document,extracted_text,11_Correspondence_and_Other,default
Tencent - Annual Report FY-21.PDF,ONT & Tencent (25-Jan)\Tencent - Annual Report FY-21.PDF,unclassified_document,extracted_text,07_Monitoring_and_Financials,name:'annual report'
Tencent - Interim Report FY-22.PDF,ONT & Tencent (25-Jan)\Tencent - Interim Report FY-22.PDF,unclassified_document,extracted_text,07_Monitoring_and_Financials,name:'interim report'
ONT - IR Dec'20 v2.pptx,ONT - IR Dec'20 v2.pptx,unclassified_document,extracted_text,01_Investment_Thesis_and_Memos,name:'ir'
ONT - items.xlsx,ONT - items.xlsx,unclassified_document,extracted_text,11_Correspondence_and_Other,default
ONT - return analysis.xlsx,ONT - return analysis.xlsx,unclassified_document,extracted_text,01_Investment_Thesis_and_Memos,name:'return analysis'
ONT October2020captable (1).pdf,ONT October2020captable (1).pdf,cap_table,extracted_text,05_Capitalization_and_Securities,name:'captable'
ONT Pre-Emption Rights.pdf,ONT Pre-Emption Rights.pdf,unclassified_document,extracted_text,10_Exit_and_Public_Markets,name:'pre-emption'
ONT Pre-Emption Rights.pptx,ONT Pre-Emption Rights.pptx,unclassified_document,extracted_text,10_Exit_and_Public_Markets,name:'pre-emption'
ONT-2019F Pic1.PNG,ONT-2019F Pic1.PNG,unclassified_document,extracted_text,11_Correspondence_and_Other,default
ONT_Share certificate 46.pdf,ONT_Share certificate 46.pdf,unclassified_document,extracted_text,05_Capitalization_and_Securities,name:'share certificate'
Payment Direction Letter(25608589_1) (002).pdf,Payment Direction Letter(25608589_1) (002).pdf,payment_instruction,extracted_text,06_Cashflows_and_Funding,name:'payment direction'
ONT - IR Dec'20 v1 [Autosaved].pptx,backups\ONT - IR Dec'20 v1 [Autosaved].pptx,unclassified_document,extracted_text,01_Investment_Thesis_and_Memos,name:'ir'
ONT - IR Dec'20 v1.pptx,backups\ONT - IR Dec'20 v1.pptx,unclassified_document,extracted_text,01_Investment_Thesis_and_Memos,name:'ir'
Oxford Nanopore Technologies plc (ONTTF...pdf,backups\Pitch Book Summaries\Oxford Nanopore Technologies plc (ONTTF...pdf,unclassified_document,extracted_text,11_Correspondence_and_Other,default
backup - beyond limits IR.pptx,backups\backup - beyond limits IR.pptx,unclassified_document,extracted_text,11_Correspondence_and_Other,default
